hmd_name,country_name
AUS,Australia
AUT,Austria
BEL,Belgium
BGR,Bulgaria
BLR,Belarus
CAN,Canada
CHE,Switzerland
CHL,Chile
CZE,Czechia
DEUTNP,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRATNP,France
GBR_NIR,Northern Ireland
GBR_NP,United Kingdom
GBR_SCO,Scotland
GBRTENW,England & Wales
GRC,Greece
HKG,Hong Kong
HUN,Hungary
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,Republic of Korea
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
NLD,Netherlands
NOR,Norway
NZL_NP,New Zealand
POL,Poland
PRT,Portugal
RUS,Russia
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
TWN,Taiwan
UKR,Ukraine
USA,USA
